Filler_Status,Machine,Status,Start_Time,Count,duration_sec
Blocked,Depal,0,2020-01-02,16,19464.695
Blocked,Depal,0,2020-01-03,4,10385.934
Blocked,Depal,0,2020-01-04,4,4213.656
Blocked,Depal,0,2020-01-05,2,137.849
Blocked,Depal,0,2020-01-06,15,22870.613
Blocked,Depal,0,2020-01-07,5,22605.868
Blocked,Depal,0,2020-01-08,11,33950.101
Blocked,Depal,0,2020-01-09,6,17529.793
Blocked,Depal,0,2020-01-10,15,17345.388
Blocked,Depal,0,2020-01-11,18,23484.705
Blocked,Depal,0,2020-01-12,6,31218.931
Blocked,Depal,0,2020-01-13,7,22360.864
Blocked,Depal,0,2020-01-14,4,40437.264
Blocked,Depal,0,2020-01-15,4,36663.074
Blocked,Depal,0,2020-01-16,9,42124.583
Blocked,Depal,0,2020-01-17,7,43719.303
Blocked,Depal,0,2020-01-18,11,38071.154
Blocked,Depal,0,2020-01-19,11,36100.114
Blocked,Depal,0,2020-01-20,3,42183.248
Blocked,Depal,0,2020-01-21,6,19730.294
Blocked,Depal,0,2020-01-22,6,15441.266
Blocked,Depal,0,2020-01-23,9,32192.587
Blocked,Depal,0,2020-01-24,20,35231.038
Blocked,Depal,0,2020-01-25,18,31650.65
Blocked,Depal,0,2020-01-26,9,11508.346
Blocked,Depal,0,2020-01-27,7,9658.934
Blocked,Depal,0,2020-01-28,6,9235.47
Blocked,Depal,0,2020-01-29,6,26263.467
Blocked,Depal,0,2020-01-30,12,36574.853
Blocked,Depal,0,2020-01-31,3,13198.686
Blocked,Depal,1,2020-01-02,4,74.441
Blocked,Depal,1,2020-01-03,2,77.339
Blocked,Depal,1,2020-01-04,1,14.221
Blocked,Depal,1,2020-01-06,3,63.257
Blocked,Depal,1,2020-01-08,1,16.13
Blocked,Depal,1,2020-01-10,2,81.447
Blocked,Depal,1,2020-01-11,1,17.078
Blocked,Depal,1,2020-01-13,4,236.061
Blocked,Depal,1,2020-01-14,2,90.091
Blocked,Depal,1,2020-01-16,2,50.406
Blocked,Depal,1,2020-01-17,3,105.283
Blocked,Depal,1,2020-01-18,3,81.599
Blocked,Depal,1,2020-01-19,2,9.025
Blocked,Depal,1,2020-01-21,5,101.32
Blocked,Depal,1,2020-01-22,3,1539.414
Blocked,Depal,1,2020-01-23,3,205.205
Blocked,Depal,1,2020-01-24,7,532.58
Blocked,Depal,1,2020-01-25,2,62.163
Blocked,Depal,1,2020-01-26,3,25.084
Blocked,Depal,1,2020-01-27,1,204.3
Blocked,Depal,1,2020-01-28,3,177.193
Blocked,Depal,1,2020-01-29,3,257.379
Blocked,Depal,1,2020-01-30,2,140.648
Blocked,Depal,1,2020-01-31,1,102.332
Blocked,Depal,2,2020-01-06,1,288.376
Blocked,Depal,2,2020-01-07,1,1585.715
Blocked,Depal,2,2020-01-09,1,468.543
Blocked,Depal,2,2020-01-12,1,92.626
Blocked,Depal,2,2020-01-17,2,10.027
Blocked,Depal,2,2020-01-19,1,130.885
Blocked,Depal,2,2020-01-25,1,1247.732
Blocked,Depal,2,2020-01-26,1,42.121
Blocked,Depal,3,2020-01-02,5,87.873
Blocked,Depal,3,2020-01-03,3,12.132
Blocked,Depal,3,2020-01-04,1,2.031
Blocked,Depal,3,2020-01-05,2,87.382
Blocked,Depal,3,2020-01-06,7,214.322
Blocked,Depal,3,2020-01-07,2,63.694
Blocked,Depal,3,2020-01-08,7,48.275
Blocked,Depal,3,2020-01-09,3,331.136
Blocked,Depal,3,2020-01-10,9,435.905
Blocked,Depal,3,2020-01-11,6,190.009
Blocked,Depal,3,2020-01-13,4,49.143
Blocked,Depal,3,2020-01-14,2,947.13
Blocked,Depal,3,2020-01-16,2,18.052
Blocked,Depal,3,2020-01-17,6,96.551
Blocked,Depal,3,2020-01-18,4,207.761
Blocked,Depal,3,2020-01-19,3,16.039
Blocked,Depal,3,2020-01-21,1,5.014
Blocked,Depal,3,2020-01-22,4,38.424
Blocked,Depal,3,2020-01-23,6,87.565
Blocked,Depal,3,2020-01-24,12,448.212
Blocked,Depal,3,2020-01-25,10,322.3
Blocked,Depal,3,2020-01-26,5,495.068
Blocked,Depal,3,2020-01-27,5,58.405
Blocked,Depal,3,2020-01-28,3,44.134
Blocked,Depal,3,2020-01-30,1,26.262
Blocked,Depal,4,2020-01-03,2,17.076
Blocked,Depal,4,2020-01-04,2,40.144
Blocked,Depal,4,2020-01-06,4,80.347
Blocked,Depal,4,2020-01-08,7,63.635
Blocked,Depal,4,2020-01-09,2,90.356
Blocked,Depal,4,2020-01-10,3,187.706
Blocked,Depal,4,2020-01-11,3,70.948
Blocked,Depal,4,2020-01-12,4,79.795
Blocked,Depal,4,2020-01-15,3,59.705
Blocked,Depal,4,2020-01-16,2,58.319
Blocked,Depal,4,2020-01-18,2,33.15
Blocked,Depal,4,2020-01-19,3,134.088
Blocked,Depal,4,2020-01-20,2,30.078
Blocked,Depal,4,2020-01-22,2,38.1
Blocked,Depal,4,2020-01-23,1,77.205
Blocked,Depal,4,2020-01-24,3,1634.902
Blocked,Depal,4,2020-01-25,4,47.32
Blocked,Depal,4,2020-01-26,1,32.092
Blocked,Depal,4,2020-01-28,1,18.049
Blocked,Depal,4,2020-01-29,2,70.188
Blocked,Depal,4,2020-01-30,6,136.874
Blocked,Depal,4,2020-01-31,1,24.104
Blocked,Depal,5,2020-01-02,9,145.652
Blocked,Depal,5,2020-01-06,7,100.504
Blocked,Depal,5,2020-01-07,5,151.517
Blocked,Depal,5,2020-01-08,1,4.014
Blocked,Depal,5,2020-01-10,6,100.68
Blocked,Depal,5,2020-01-11,11,194.311
Blocked,Depal,5,2020-01-12,1,58.35
Blocked,Depal,5,2020-01-13,3,37.52
Blocked,Depal,5,2020-01-14,1,54.156
Blocked,Depal,5,2020-01-17,1,21.059
Blocked,Depal,5,2020-01-18,4,131.818
Blocked,Depal,5,2020-01-19,6,88.393
Blocked,Depal,5,2020-01-22,1,5.081
Blocked,Depal,5,2020-01-23,2,23.349
Blocked,Depal,5,2020-01-24,11,305.117
Blocked,Depal,5,2020-01-25,5,99.704
Blocked,Depal,5,2020-01-26,2,56.157
Blocked,Depal,5,2020-01-27,4,38.102
Blocked,Depal,5,2020-01-28,1,7.02
Blocked,Depal,5,2020-01-30,3,31.108
Blocked,Divider,0,2020-01-07,51,295.04
Blocked,Divider,0,2020-01-09,86,2238.059
Blocked,Divider,0,2020-01-14,51,350.381
Blocked,Divider,0,2020-01-16,258,17171.145
Blocked,Divider,0,2020-01-22,54,3304.848
Blocked,Divider,0,2020-01-23,313,7276.044
Blocked,Divider,0,2020-01-24,356,3672.948
Blocked,Divider,0,2020-01-25,435,3769.285
Blocked,Divider,0,2020-01-26,76,628.481
Blocked,Divider,0,2020-01-29,50,2010.146
Blocked,Divider,0,2020-01-30,53,2831.253
Blocked,Divider,1,2020-01-07,4,148.746
Blocked,Divider,1,2020-01-09,2,58.445
Blocked,Divider,1,2020-01-13,2,22.172
Blocked,Divider,1,2020-01-14,4,87.724
Blocked,Divider,1,2020-01-15,1,13.207
Blocked,Divider,1,2020-01-16,4,168.727
Blocked,Divider,1,2020-01-22,4,79.214
Blocked,Divider,1,2020-01-23,25,739.642
Blocked,Divider,1,2020-01-24,26,557.434
Blocked,Divider,1,2020-01-25,10,311.813
Blocked,Divider,1,2020-01-26,17,536.604
Blocked,Divider,1,2020-01-29,16,709.486
Blocked,Divider,1,2020-01-30,1,61.163
Blocked,Divider,2,2020-01-14,1,6.016
Blocked,Divider,2,2020-01-16,14,364.734
Blocked,Divider,2,2020-01-22,9,41.24
Blocked,Divider,2,2020-01-23,16,229.688
Blocked,Divider,2,2020-01-24,196,3604.341
Blocked,Divider,2,2020-01-25,61,976.753
Blocked,Divider,2,2020-01-26,71,2538.023
Blocked,Divider,3,2020-01-07,47,1115.891
Blocked,Divider,3,2020-01-09,90,3786.661
Blocked,Divider,3,2020-01-13,3,86.686
Blocked,Divider,3,2020-01-14,58,12671.292
Blocked,Divider,3,2020-01-16,202,7794.991
Blocked,Divider,3,2020-01-17,4,6293.032
Blocked,Divider,3,2020-01-18,1,10.159
Blocked,Divider,3,2020-01-22,37,1155.774
Blocked,Divider,3,2020-01-23,288,3563.203
Blocked,Divider,3,2020-01-24,203,10614.984
Blocked,Divider,3,2020-01-25,290,11726.455
Blocked,Divider,3,2020-01-26,40,10287.784
Blocked,Divider,3,2020-01-29,34,2352.978
Blocked,Divider,3,2020-01-30,52,2595.042
Blocked,Divider,4,2020-01-07,2,30.28
Blocked,Divider,4,2020-01-16,19,1020.395
Blocked,Divider,4,2020-01-17,4,765.106
Blocked,Divider,4,2020-01-22,4,101.98
Blocked,Divider,4,2020-01-23,15,729.549
Blocked,Divider,4,2020-01-24,13,1002.371
Blocked,Divider,4,2020-01-25,10,797.261
Blocked,Divider,4,2020-01-26,20,2750.711
Blocked,Divider,4,2020-01-29,16,1145.915
Blocked,Divider,4,2020-01-30,3,85.827
Blocked,Divider,5,2020-01-07,19,116.659
Blocked,Divider,5,2020-01-14,10,42.298
Blocked,Divider,5,2020-01-16,45,128.809
Blocked,Divider,5,2020-01-22,4,50.129
Blocked,Divider,5,2020-01-23,22,143.926
Blocked,Divider,5,2020-01-24,67,1646.705
Blocked,Divider,5,2020-01-25,180,1283.361
Blocked,Divider,5,2020-01-26,13,328.41
Blocked,Divider,5,2020-01-29,19,570.115
Blocked,Divider,5,2020-01-30,2,92.596
Blocked,Divider,7,2020-01-07,6,1070.226
Blocked,Divider,7,2020-01-09,5,23659.813
Blocked,Divider,7,2020-01-13,4,13965.249
Blocked,Divider,7,2020-01-14,5,267.635
Blocked,Divider,7,2020-01-15,1,69413.964
Blocked,Divider,7,2020-01-16,15,481.569
Blocked,Divider,7,2020-01-18,1,329115.354
Blocked,Divider,7,2020-01-22,3,21.139
Blocked,Divider,7,2020-01-23,30,32769.125
Blocked,Divider,7,2020-01-24,15,79.711
Blocked,Divider,7,2020-01-25,14,372.466
Blocked,Divider,7,2020-01-26,18,265.625
Blocked,Divider,7,2020-01-29,11,154.675
Blocked,Divider,7,2020-01-30,2,4.01
Blocked,Dynac,0,2020-01-02,26,19481.988
Blocked,Dynac,0,2020-01-03,22,10628.044
Blocked,Dynac,0,2020-01-05,10,13684.415
